source_id,ra,dec,parallax,parallax_error,pmra,pmdec,visibility_periods_used,radial_velocity,radial_velocity_error,astrometric_chi2_al,ipd_gof_harmonic_amplitude,bp_rp,phot_bp_rp_excess_factor,ruwe,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_n_good_obs_al,nss_solution_type,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,obj_func,goodness_of_fit,efficiency,significance,binary,p1_a0_mas,mass_function_msun,p1_omega_deg,p1_OMEGA_deg,p1_incl_deg,absolute_phot_g_mean_mag
557717892980808960,65.14265583248525,81.53178029661157,24.99961974131864,0.019533189,-115.9989224955798,-79.85800426121888,27,-0.8466439,0.47594565,2862.3506,0.011424029,2.3845892,1.4009157,1.7261605,12.046809,10.931644,13.316234,0.21274233,75.98087,True,415,Orbital,522.5754291547664,8.133869,124.88830029767274,19.625036,0.378124486473676,0.103596315,1045.433,14.287065,0.3763593,13.970924,1,0.3811145971181384,1.7308084948488601e-06,1.3119700010166155,0.4667796299636484,1.4816512927671204,39.65942062555394
619792131892273408,146.100169237118,16.610468374178303,23.494508254213528,0.13460909,54.39990745970915,-287.49760643875413,17,-41.548126,3.1773543,11945.71,0.014386486,3.1765203,1.5222545,4.9959664,14.6661005,13.366361,16.542881,1.0465691,397.4181,False,409,Orbital,901.3261342963225,59.16638,411.68736192858074,7.501519,0.6654643510044389,0.07047797,1734.2693,24.672306,0.0,15.436453,1,1.9486765858836563,9.369938574789464e-05,2.185584714946099,3.0047946754813086,2.130293073218262,41.92259351324108
637329067477530368,140.9454802584218,20.36461284898379,29.063471700504785,0.04139838,-151.26476292374525,35.70844854635065,17,49.250942,0.11820289,2087.947,0.01576663,0.81392527,1.2032717,1.5981688,7.5681353,7.0744195,7.888345,0.26677546,55.460354,True,367,OrbitalTargetedSearchValidated,850.837877194949,112.527145,145.67734019281113,68.63802,0.36931375013866263,0.14985596,382.46973,-0.46266985,0.2750284,12.119544,0,0.38745851266816705,4.3663643031903426e-07,1.0958633431801896,0.2204439092436407,1.8811194605077186,35.918705459222096
685029558383335168,135.1989753379562,21.452187762282836,30.318017131389293,0.07207166,269.4609166133224,-342.9650861913764,18,6.3919234,0.575444,5497.09,0.047757924,1.0572028,1.223818,3.137566,8.525496,7.9108987,8.9681015,0.4972253,209.46254,True,274,OrbitalTargetedSearchValidated,119.07331263762376,0.1968958,-30.519283273949398,2.8803368,0.7130915353095499,0.039227366,283.45505,0.2158238,0.0,15.186194,0,1.0394933618370323,0.00037924019057518533,1.9023333635584523,1.90364963474426,0.7376503627221027,37.13558306761171
824461960796102528,143.3695881411054,46.22871038088223,19.684345005436448,0.0727807,-23.089205736803,5.445338133226539,22,11.005612,0.30228078,7302.677,0.02966224,0.8061161,1.2014472,2.8905041,8.253769,7.765212,8.571328,0.56496584,243.95831,False,404,OrbitalTargetedSearchValidated,579.2959531171614,6.076166,23.119615316578006,27.60982,0.727080838779779,0.03798354,377.7476,-1.2047001,0.0,17.782667,0,1.6328965638358164,0.00022693034880039208,1.589196387208049,2.976828590254898,1.1543021157487408,34.73554810403072
834357565445682944,156.1264392884028,47.60785672081442,18.67185415266541,0.039110944,-283.6710763372404,-43.99175313870684,23,29.70156,21.4492,2229.0396,0.024192268,2.5854807,1.4316776,2.4756024,13.659324,12.490678,15.076159,0.31950012,64.80547,False,395,Orbital,479.96618266413367,6.097238,-147.83268584583783,18.213982,0.3937901483624032,0.06701298,666.76373,8.28855,0.26387513,18.130827,1,0.6288067338472325,2.2118128841552713e-05,1.2006352066800527,0.5394239193786496,1.0321239936922963,39.80768940444099
855523714036230016,160.2369353851966,59.34193263142321,21.937187999208824,0.05225814,-22.34700052996415,-128.3313516854383,31,-1.3412455,0.4899817,9764.941,0.0029592065,0.83357763,1.2050779,2.68675,8.225801,7.721682,8.55526,0.5224875,271.9315,False,623,AstroSpectroSB1,145.31044440085782,0.20235454,29.502138497287113,1.1298509,0.35255892330925054,0.019737165,621.97797,-0.6862259,0.53506094,53.305576,0,0.8252336368900443,0.00033633702702199665,1.210209906404609,2.86621468918395,1.951558485308224,35.22791473097607
873616860770228352,112.59277428576148,29.379775044570543,16.04618955182651,0.037306603,-55.426323269306636,-198.00593290858063,15,19.907053,0.36466485,2099.7854,0.05591303,0.93865013,1.209229,2.3332837,9.117427,8.564141,9.502791,0.2843956,88.20618,True,198,OrbitalTargetedSearchValidated,173.15172103031398,2.9900985,-24.77821050791033,50.601124,0.4266849998900436,0.12440799,195.51413,0.571222,0.0,4.250344,0,0.6059010310564714,0.0002395610148460589,2.5651495937833673,2.921353448110291,2.1054129339410217,34.52627602951678
932447162423519232,120.38295920751497,46.70446143854687,19.03144909988668,0.029215349,-5.776499831146911,-38.76676755877087,18,-2.0271194,0.590134,2228.0413,0.021525213,2.0829306,1.3535216,1.7358394,11.625749,10.602474,12.685405,0.2166905,72.1448,True,287,AstroSpectroSB1,407.62419102073034,4.865756,123.69220941827943,85.38264,0.14146930037022007,0.110176906,428.0092,5.1101995,0.0,9.87667,1,0.46261281179352753,1.153182238035639e-05,1.1014063663389118,2.2727039042437194,1.1499414530965084,37.80011005609112
1035000055055287680,124.02375441265521,57.09314866154391,30.75641609661966,0.061947037,-315.11747316038156,-223.03604175421782,18,17.484322,0.13984692,6097.105,0.039306235,0.9315953,1.2139024,2.4243562,7.3016915,6.74719,7.6787853,0.38949355,153.49745,True,435,OrbitalTargetedSearchValidated,241.6272531745606,1.0179724,-66.04323429489037,19.68123,0.31423487553218543,0.05991275,467.7156,0.90443194,0.0,26.257324,0,0.7123701140861634,2.8392164736430587e-05,2.200812072996163,0.3755000173007136,2.683710590740833,35.930720217150295
